TX_ID,TX_TYPE,FROM_USER_ID,TO_USER_ID,AMOUNT,TIMESTAMP,STATUS,DESCRIPTION
1000000000000000,DEPOSIT,0,9223372036854775807,100,1633036860000,FAILURE,"Record number 1"
1000000000000001,TRANSFER,9223372036854775807,9223372036854775807,200,1633036920000,PENDING,"Record number 2"
1000000000000002,WITHDRAWAL,599094029349995112,0,300,1633036980000,SUCCESS,"Record number 3"
1000000000000003,DEPOSIT,0,6386297538413372968,400,1633037040000,FAILURE,"Record number 4"
1000000000000004,TRANSFER,9223372036854775807,9223372036854775807,500,1633037100000,PENDING,"Record number 5"
1000000000000005,WITHDRAWAL,6238472699204189335,0,600,1633037160000,SUCCESS,"Record number 6"
1000000000000006,DEPOSIT,0,728970204360217851,700,1633037220000,FAILURE,"Record number 7"
1000000000000007,TRANSFER,9223372036854775807,7524637015105340931,800,1633037280000,PENDING,"Record number 8"
1000000000000008,WITHDRAWAL,5108918777190567747,0,900,1633037340000,SUCCESS,"Record number 9"
1000000000000009,DEPOSIT,0,9223372036854775807,1000,1633037400000,FAILURE,"Record number 10"
1000000000000010,TRANSFER,2742528693116261933,6195600858058280266,1100,1633037460000,PENDING,"Record number 11"
1000000000000011,WITHDRAWAL,9223372036854775807,0,1200,1633037520000,SUCCESS,"Record number 12"
1000000000000012,DEPOSIT,0,9223372036854775807,1300,1633037580000,FAILURE,"Record number 13"
1000000000000013,TRANSFER,2417651132117586249,9223372036854775807,1400,1633037640000,PENDING,"Record number 14"
1000000000000014,WITHDRAWAL,8926044397622244281,0,1500,1633037700000,SUCCESS,"Record number 15"
1000000000000015,DEPOSIT,0,9223372036854775807,1600,1633037760000,FAILURE,"Record number 16"
1000000000000016,TRANSFER,1020507741685951480,9223372036854775807,1700,1633037820000,PENDING,"Record number 17"
1000000000000017,WITHDRAWAL,9223372036854775807,0,1800,1633037880000,SUCCESS,"Record number 18"
1000000000000018,DEPOSIT,0,3448209716067487073,1900,1633037940000,FAILURE,"Record number 19"
1000000000000019,TRANSFER,8969803948209661815,8940414264323298111,2000,1633038000000,PENDING,"Record number 20"
1000000000000020,WITHDRAWAL,5105904557691022553,0,2100,1633038060000,SUCCESS,"Record number 21"
1000000000000021,DEPOSIT,0,9223372036854775807,2200,1633038120000,FAILURE,"Record number 22"
